No.,Year,Paper,Year_R,Paper_Ref
43,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2019,Automatic Recognition of Business Process Images
44,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2022,OCR-Free Document Understanding Transformer
45,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2017,Visual Genome: Connecting Language and Vision Using Crowdsourced Dense Image Annotations
46,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2019,HWNet v2: An efficient word image representation for handwritten documents
47,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2012,ImageNet Classification with Deep Convolutional Neural Networks
48,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,1995,Interactive Sketching for the Early Stages of User Interface Design
49,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,1987,Why a Diagram is (Sometimes) Worth Ten Thousand Words
50,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2018,CornerNet: Detecting Objects as Paired Keypoints
51,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,1998,Gradient-based learning applied to document recognition
52,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2015,Deep Learning
53,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2013,Interest of Syntactic Knowledge for On-Line Flowchart Recognition
54,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2015,Learning from quality issues of bpmn models from industry
55,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2022,SGTR: End-to-End Scene Graph Generation With Transformer
56,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2017,Focal loss for dense object detection
57,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2017,Feature pyramid networks for object detection
58,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2014,Microsoft COCO: Common Objects in Context
59,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2011,Large-scale image classification: Fast feature extraction and SVM training
60,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2016,Visual Relationship Detection with Language Priors
61,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2002,The IAM-database: An english sentence database for offline handwriting recognition
62,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2018,Mask R-CNN-benchmark: fast. modular reference implementation of instance segmentation and object detection algorithms in PyTorch
63,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2012,Visual Structure Analysis of Flow Charts in Patent Images
64,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2010,From Informal Process Diagrams to Formal Process Models
65,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,1973,Recent advances in sketch recognition
66,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2016,Stacked hourglass networks for human pose estimation
67,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2004,Off-line Sketch Interpretation
68,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,1979,A threshold selection method from gray-level histograms
69,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2019,PyTorch: An imperative style. high-performance deep learning library
70,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2015,Styles in business process modeling: An exploration and a model
71,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2000,On-Line and Off-line Handwriting Recognition: A Comprehensive Survey
72,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2021,Object Detection Based Software System for Automatic Evaluation of Cursogramas Images
